epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,9039.55,1.46934,2.03148,1.58866,0.58096,0.50432,0.52362,0.32766,1.40093,1.74852,1.47707,0.0004852,0.0004852,0.0004852
54,9209.18,1.4496,1.94835,1.56539,0.56314,0.52314,0.53753,0.34499,1.34035,1.7146,1.45292,0.0004753,0.0004753,0.0004753
55,9379,1.45278,1.97547,1.57314,0.56196,0.53158,0.53937,0.34868,1.32764,1.70583,1.45131,0.0004654,0.0004654,0.0004654
56,9547.31,1.46255,1.95456,1.57184,0.55109,0.50397,0.52616,0.33882,1.33012,1.70591,1.44908,0.0004555,0.0004555,0.0004555
57,9715.53,1.43442,1.92075,1.55007,0.5635,0.53763,0.53982,0.34118,1.36531,1.68166,1.44197,0.0004456,0.0004456,0.0004456
58,9884.53,1.44855,1.93843,1.56478,0.57967,0.51237,0.54891,0.34862,1.35264,1.71081,1.43596,0.0004357,0.0004357,0.0004357
59,10053.2,1.4342,1.90689,1.55548,0.61873,0.49039,0.54391,0.35506,1.29722,1.75481,1.41377,0.0004258,0.0004258,0.0004258
60,10221.8,1.43242,1.9075,1.54989,0.60992,0.5125,0.55387,0.36212,1.30347,1.654,1.41667,0.0004159,0.0004159,0.0004159
61,10390.1,1.4124,1.86571,1.53739,0.60575,0.54025,0.58515,0.37836,1.30869,1.6038,1.42078,0.000406,0.000406,0.000406
62,10558.5,1.41875,1.84639,1.54301,0.57105,0.56736,0.57361,0.3782,1.27356,1.6548,1.40943,0.0003961,0.0003961,0.0003961
63,10726.9,1.40213,1.84347,1.52699,0.63297,0.55385,0.60019,0.39679,1.27095,1.53949,1.39652,0.0003862,0.0003862,0.0003862
64,10895.1,1.39427,1.82067,1.51877,0.57832,0.5565,0.58637,0.38873,1.27231,1.58507,1.40507,0.0003763,0.0003763,0.0003763
65,11063.1,1.38772,1.80778,1.50966,0.61923,0.55878,0.59326,0.40203,1.23393,1.53747,1.37676,0.0003664,0.0003664,0.0003664
66,11231.4,1.38624,1.79657,1.51293,0.63301,0.54308,0.59188,0.38837,1.25822,1.57531,1.40319,0.0003565,0.0003565,0.0003565
67,11398.9,1.39202,1.79833,1.52026,0.66264,0.51514,0.59658,0.39778,1.27177,1.54804,1.4085,0.0003466,0.0003466,0.0003466
68,11568.3,1.38437,1.80794,1.51747,0.62419,0.55348,0.59467,0.40208,1.24189,1.5533,1.378,0.0003367,0.0003367,0.0003367
69,11737.3,1.36455,1.75915,1.49701,0.62733,0.53914,0.59616,0.38398,1.33228,1.52569,1.41171,0.0003268,0.0003268,0.0003268
70,11906.5,1.37063,1.75064,1.50057,0.60166,0.57708,0.6186,0.41927,1.21951,1.46579,1.36054,0.0003169,0.0003169,0.0003169
71,12076.8,1.37111,1.77216,1.50149,0.61689,0.55974,0.59592,0.39946,1.24187,1.55885,1.36883,0.000307,0.000307,0.000307
72,12246.4,1.36063,1.74847,1.49371,0.64801,0.55094,0.61947,0.4178,1.22219,1.47997,1.37021,0.0002971,0.0002971,0.0002971
73,12414.9,1.35556,1.71112,1.48674,0.6176,0.56373,0.60193,0.40161,1.2414,1.51954,1.37096,0.0002872,0.0002872,0.0002872
74,12583.3,1.34543,1.69919,1.48476,0.65263,0.56461,0.62581,0.41887,1.23815,1.46234,1.36464,0.0002773,0.0002773,0.0002773
75,12751.2,1.3539,1.71243,1.48127,0.61658,0.57415,0.62072,0.41872,1.2367,1.47617,1.36673,0.0002674,0.0002674,0.0002674
76,12918.2,1.34148,1.67897,1.47637,0.60568,0.588,0.62626,0.42933,1.19708,1.44847,1.3495,0.0002575,0.0002575,0.0002575
77,13086.3,1.34028,1.68455,1.47514,0.62508,0.58388,0.61832,0.41952,1.21101,1.4704,1.34654,0.0002476,0.0002476,0.0002476
78,13254.4,1.34554,1.67284,1.46759,0.646,0.54878,0.61768,0.42568,1.18531,1.45287,1.34104,0.0002377,0.0002377,0.0002377
79,13422.4,1.32958,1.6665,1.47114,0.64419,0.55869,0.61734,0.42363,1.19538,1.44878,1.35187,0.0002278,0.0002278,0.0002278
80,13590.7,1.34844,1.66858,1.48113,0.6598,0.55073,0.62056,0.42348,1.19349,1.47413,1.35801,0.0002179,0.0002179,0.0002179
81,13758.6,1.32196,1.6632,1.46482,0.63989,0.57997,0.6325,0.43736,1.19377,1.4201,1.33893,0.000208,0.000208,0.000208
82,13926.4,1.31802,1.64093,1.45809,0.61694,0.59347,0.63857,0.44007,1.18032,1.42267,1.3285,0.0001981,0.0001981,0.0001981
83,14094.7,1.3222,1.63937,1.46872,0.66645,0.58385,0.64538,0.44689,1.17607,1.3922,1.32903,0.0001882,0.0001882,0.0001882
84,14263.6,1.31604,1.62444,1.4587,0.66697,0.56477,0.6431,0.44219,1.18526,1.39778,1.33397,0.0001783,0.0001783,0.0001783
85,14432.6,1.32512,1.61698,1.46524,0.68967,0.56651,0.64164,0.44359,1.19951,1.39201,1.34268,0.0001684,0.0001684,0.0001684
86,14602,1.31402,1.58275,1.45047,0.65477,0.57569,0.63383,0.43926,1.18413,1.41528,1.33339,0.0001585,0.0001585,0.0001585
87,14772.3,1.30491,1.58216,1.44625,0.69356,0.56022,0.64515,0.44917,1.17367,1.3856,1.32988,0.0001486,0.0001486,0.0001486
88,14942.5,1.31023,1.60816,1.45019,0.70182,0.56759,0.64504,0.44585,1.17643,1.39049,1.32533,0.0001387,0.0001387,0.0001387
89,15112.7,1.30699,1.58823,1.44629,0.68224,0.56444,0.64584,0.4468,1.17084,1.39623,1.32944,0.0001288,0.0001288,0.0001288
90,15281.3,1.30954,1.56947,1.44845,0.68198,0.57331,0.65243,0.44982,1.16387,1.37512,1.31705,0.0001189,0.0001189,0.0001189
91,15442.5,1.14976,1.26024,1.33829,0.69104,0.53509,0.61683,0.42282,1.20616,1.4887,1.34295,0.000109,0.000109,0.000109
92,15601.1,1.11674,1.16345,1.30941,0.70217,0.56372,0.64105,0.44147,1.18607,1.42524,1.32466,9.91e-05,9.91e-05,9.91e-05
93,15758.5,1.10976,1.15812,1.30482,0.72702,0.55948,0.65238,0.45292,1.1629,1.37715,1.31383,8.92e-05,8.92e-05,8.92e-05
94,15916.4,1.11507,1.14266,1.30372,0.72319,0.55266,0.6558,0.45065,1.17228,1.37335,1.31549,7.93e-05,7.93e-05,7.93e-05
95,16073.7,1.11034,1.13405,1.30091,0.71699,0.55933,0.65467,0.45168,1.169,1.38334,1.32044,6.94e-05,6.94e-05,6.94e-05
96,16230.4,1.10337,1.12333,1.30244,0.7299,0.55965,0.66264,0.45679,1.16648,1.35638,1.31053,5.95e-05,5.95e-05,5.95e-05
97,16386.6,1.08479,1.0951,1.28206,0.6761,0.595,0.66096,0.45639,1.16875,1.35674,1.31117,4.96e-05,4.96e-05,4.96e-05
98,16543.5,1.08412,1.08609,1.2828,0.71526,0.57939,0.66699,0.45993,1.17102,1.33991,1.31104,3.97e-05,3.97e-05,3.97e-05
99,16700.4,1.09353,1.09339,1.29572,0.65877,0.60421,0.66393,0.46383,1.16289,1.34703,1.31071,2.98e-05,2.98e-05,2.98e-05
100,16857.1,1.0878,1.09179,1.28604,0.71726,0.57576,0.66604,0.4621,1.16587,1.34335,1.31085,1.99e-05,1.99e-05,1.99e-05
